Average TCF4A,Average TCF4D,Average TCF4I,Average TCF4M,Average TCF20A,Average TCF 20 D,Average TCF 20 I,Average TCF 20 M,Average TCF36A,Average TCF36D,Average TCF36I,Average TCF36M,Average TCF44A,Average TCF44D,Average TCF44I,Average TCF44M,Average TCF44hA,Average TCF44hD,Average TCF44hI,Average TCF44hM,Average TCF72D,Average TCF72I,Average TCF72M,Average TCF72mA,Average TCF72mD,Average TCF72mI,Average TCF72mM,Average TCF72hA,Average TCF72hI,`
148.4,154.36,81.93,125.64,57.77,63.39,92.875,50.985,9.025,13.285,5.415,14.69,22.36,13.99333333,20.44666667,18.53666667,3.59,2.18,5.75,3.753333333,95.505,77.56333333,126.94,47.395,16.21,18.885,31.72,19.975,90.71,90.39333333
2.815,0,5.06,0,0,0,41.355,1.01,0.56,0.625,0,0,0.893333333,0,0,0,1.206666667,1.16,10.14,7.336666667,10.385,18.12,6.946666667,14.92,7.256666667,2.595,22.34666667,13.68,18.08333333,23.06666667
5.89,1.82,7.245,7.215,2.03,6.57,23.135,6.91,4.235,2.48,2.59,2.425,2.263333333,1.666666667,1.606666667,0.966666667,0.186666667,0,0.243333333,0,12.23,6.63,21.19,3.7,0.456666667,0.94,0.55,0.705,0.58,0
6.63,11.35,5.73,11.86,4.12,5.05,10.04,3.13,0,1.73,0,1.445,0.416666667,2.036666667,0.68,0,0.93,2.52,0.493333333,0.403333333,20.705,12.39333333,34.47666667,1.94,2.063333333,0.775,0.993333333,2.42,1.17,3.613333333
2.27,0,3.915,8.495,5.615,3.76,5.305,0,0,2.485,1.68,0,0.583333333,0.453333333,0.98,0,0,0,0,0,0,5.223333333,44.43,0,0,0,2.616666667,1.22,0,2.86
0.815,2.925,3.46,2.92,4.24,3.995,5.26,3.075,0.485,0.54,0,0,0.336666667,0.61,1.643333333,0.383333333,0.34,0,0,1.793333333,0,4.586666667,16.34,1.56,1.05,0,0.43,1.17,1.233333333,0.6
1.725,1.065,0,2.23,0,0.635,3.5,0,0,0,0,0.615,0,0,0,1.356666667,0,0,0,0,6.3,0.566666667,1.956666667,1.82,0,0.725,0.466666667,1.33,0.72,1.153333333
0,0,0,0.945,1.68,0,18.615,0.87,0,0.915,0,0.63,0.87,0,0,0,0,2,0,0,0,1.923333333,0,0,1.623333333,0,0.786666667,0,0.306666667,0.816666667
2.85,0,8.98,1.23,2.725,2.815,16.205,1.13,0,0.6,2.385,1.495,4.286666667,2.873333333,3.34,4.903333333,1.746666667,6.53,3.376666667,2.43,10.44,7.576666667,17.71333333,5.725,1.616666667,5.015,9.833333333,3.55,1.206666667,1.77
17.65,1.155,20.015,7.025,6.68,6.765,38.145,8.995,1.77,0.975,1.4,5.345,1.99,4.48,1.106666667,0.496666667,0.36,0,1.42,1.98,0,10.58666667,18.29333333,3.965,4.6,1.06,4.733333333,4.085,0.566666667,0.93
0.955,2.36,9.7,3.705,1.46,4.55,0.97,2.545,0,0,0,0,0,1.44,0.68,0,0,0,1.03,0,0,2.04,9.976666667,0.96,1.416666667,0.805,0,1.63,0.41,0
